,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (BetaCarotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"푸렁통구멍, 생것",어패류및기타수산물,77,17.4,0.2,0.2,0,19,0.4,0,0,0,0.16,0.08,1,0,0
"풀반지, 생것",어패류및기타수산물,164,16.9,10.1,0.2,0,118,1.4,0,0,0,0,0,0,0,0
"피라미, 생것",어패류및기타수산물,105,18.5,2.8,0.2,0,59,1.9,53,27,0,0.02,0.14,0,0,0
"학공치, 생것",어패류및기타수산물,94,17.8,1.7,0.7,0,20,3.5,0,8,0,0.02,0.16,1,0,0
"학공치, 조미하여 말린것",어패류및기타수산물,339,59.1,2,17.7,0,310,19.5,0,0,0,0.03,0.03,0,0,0
"향어, 생것",어패류및기타수산물,174,16.8,11.2,0.3,0,37,1.2,0,33,0,0.28,0.15,1,0,0
"홍감펭, 생것",어패류및기타수산물,107,16.7,3.9,0.2,0,33,0.7,0,0,0,0,0,0,0,0
"홍어, 생것",어패류및기타수산물,88,19.6,0.5,0,0,305,1.2,222,0,0,0.07,0.13,0,0,0
"홍치, 생것",어패류및기타수산물,94,18.9,1.4,0.1,0,20,1.2,0,6,0,0.05,0.08,1,0,0
"황매퉁이, 생것",어패류및기타수산물,98,20,1.3,0.1,0,54,0.6,0,5,0,0.1,0.11,1,0,0
"황새치, 생것",어패류및기타수산물,82,17,1,0,0,100,6.2,0,36,0,0.14,0.12,2,0,0
"황새치, 구운것",어패류및기타수산물,172,23.45,7.93,0,0,6,0.45,97,43,0,0.089,0.063,0,0,0
"황새치젓, 염절임",어패류및기타수산물,121,15.7,4.8,2.7,0,462,2.2,7683,0,0,0.03,0.1,0,0,0
"황어, 생것",어패류및기타수산물,95,18.3,1.8,0.2,0,65,1.5,45,15,0,0.26,0.13,0,0,0
"횟대, 빨간횟대, 생것",어패류및기타수산물,75,17.1,0.1,0.3,0,48,0.8,0,3,0,0.05,0.08,0,0,0
"히메치, 생것",어패류및기타수산물,99,20.9,1.1,0,0,39,1,0,6,0,0.29,0.14,1,0,0
"가리비, 생것",어패류및기타수산물,80,15.18,1.73,0,0,65,2.95,735,0,0,0.13,0.1,2,6.4,3.7
"가리비, 말린것",어패류및기타수산물,352,77.6,0.4,4.4,0,6,3,2300,0,0,0,0,0,0,0
"가리비, 삶은것",어패류및기타수산물,100,17.6,1.9,1.9,0,24,2.8,250,15,230,0.04,0.29,2,4,2
"가리비, 튀긴것",어패류및기타수산물,216,18.07,10.94,10.13,0,42,0.82,464,0,0,0.042,0.11,2.3,0,0
"가리비, 통조림",어패류및기타수산물,112,21.6,0.3,4.4,0,45,1.4,500,0,0,0.02,0.15,0,0,0
"가리비, 관자, 생것",어패류및기타수산물,105,20.8,0.8,2.4,0,10,0.8,0,0,0,0.04,0.1,3,0,0
"가리비, 관자, 삶아서 말린것",어패류및기타수산물,322,65.7,1.4,7.6,0,34,1.2,2500,0,0,0.12,0.3,0,4,1
"가리비, 관자, 냉동",어패류및기타수산물,105,20.8,0.8,2.4,0,10,1.3,254,0,0,0.04,0.1,3,0,0
"가리비, 국자가리비, 생것",어패류및기타수산물,59,10.8,0.8,1.5,0,48,2,450,5,9,0,0.2,0,8,8
"가리비, 비단가리비, 생것",어패류및기타수산물,76,14.5,1,1.4,0,61,3.2,0,0,0,0.03,0.32,1,0,0
"가리비, 큰가리비, 생것",어패류및기타수산물,60,12.3,0.82,0,0,31,0.92,371,0,0,0.02,0.25,0,5.8,4.55
"각시수랑, 생것",어패류및기타수산물,70,15,0.3,0.9,0,29,2.1,0,0,0,0,0,0,0,0
"고둥, 갈색고리돼지고둥, 생것",어패류및기타수산물,92,16.1,0.7,4.3,0,419,5,0,0,0,0,0,0,0,0
"고둥, 갈색띠매물고둥, 생것",어패류및기타수산물,78,15.1,0.2,3,0,36,1.6,0,11,0,0.02,0.12,2,0,0
"고둥, 관절매물고둥(보라골뱅이), 생것",어패류및기타수산물,103,17.7,1.1,4.5,0,94,2.3,0,0,17,0.15,0.24,1,0,0
"고둥, 긴고둥(긴뿔고둥), 생것",어패류및기타수산물,116,17.2,2.7,4.8,0,122,7.2,215,0,50,0.06,0.1,2,0,0
"고둥, 나팔고둥, 생것",어패류및기타수산물,110,15.9,3,3.9,0,95,5,217,0,42,0.05,0.2,2,0,0
"고둥, 두드럭고둥, 생것",어패류및기타수산물,88,14.2,0.7,5.5,0,68,2.1,0,0,0,0,0,0,0,0
"고둥, 매끈이고둥, 생것",어패류및기타수산물,109,22.5,0.4,2.3,0,97,2.5,0,0,0,0.04,0.23,3,0,0
"고둥, 물레고둥, 생것",어패류및기타수산물,88,17.1,0.3,3.2,0,587,2.1,0,0,0,0.05,0.12,2,0,0
"고둥, 민허리돼지고둥, 생것",어패류및기타수산물,104,16.5,2.4,3.2,0,193,7.2,0,25,42,0.07,0.26,2,0,0
"고둥, 보말고둥, 생것",어패류및기타수산물,92,14.6,2.2,2.6,0,240,12.9,0,0,42,0.04,0.2,2,0,0
"고둥, 보말고둥, 삶은것",어패류및기타수산물,105,18.4,0.7,5.3,0,90,1.4,446,0,0,0.01,0.11,0,0,0
"고둥, 비단고둥, 생것",어패류및기타수산물,94,17,1.2,2.8,0,70,25.4,0,0,0,0.03,0.15,2,0,0
"고둥, 세고리물레고둥, 생것",어패류및기타수산물,74,15,0.1,2.4,0,163,1.6,0,0,0,0,0,0,0,0
"고둥, 위고둥, 생것",어패류및기타수산물,66,11.2,1.5,1.1,0,144,3.7,0,0,42,0.01,0.09,2,0,0
"고둥, 조각매물고둥, 생것",어패류및기타수산물,125,17.7,3.6,4.4,0,87,1.8,0,0,50,0.02,0.1,2,0,0
"고둥, 콩깍지고둥, 생것",어패류및기타수산물,100,19.7,0.5,3,0,77,2.3,0,0,0,0.03,0.13,2,0,0
"고둥, 털탑고둥, 생것",어패류및기타수산물,143,20.7,3.7,5.5,0,128,3.5,0,5,58,0.02,0.11,2,0,0
"고둥, 피뿔고둥, 생것",어패류및기타수산물,109,17.9,0.2,8,0,77,3.3,0,3,0,0.04,0.25,4,0,0
"굴, 냉동",어패류및기타수산물,95,10,3.6,5.1,0,3,0,0,0,0,0.3,0.2,5,0,0
"굴, 튀긴것(튀김옷)",어패류및기타수산물,199,8.77,12.58,11.62,0,62,6.95,417,0,0,0.15,0.202,3.8,0,0
"굴, 통조림",어패류및기타수산물,87,14.7,2.7,0,0,37,3.3,378,0,0,0.65,0.09,0,0,0
"굴, 훈제통조림",어패류및기타수산물,301,13.9,24.4,5.6,0,20,4.1,600,0,0,0.05,0.09,0,0,0
"굴, 석굴, 생것",어패류및기타수산물,63,8.9,1.2,3.7,0,43,3.9,232,12,50,0.13,0.18,5,0,0
"굴, 참굴, 생것",어패류및기타수산물,81,9.66,2.19,5.27,0,428,8.72,480,0,0,0.22,0.124,0,8.7,4.4
"굴, 참굴(양식), 생것",어패류및기타수산물,86,10.5,2.4,5.1,0,84,3.8,0,9,72,0.2,0.28,3,0,0
"굴, 토굴, 생것",어패류및기타수산물,80,10.2,1.8,5.3,0,123,3.4,0,10,0,0.2,0.3,4,0,0
"굴젓, 어리굴젓, 염절임",어패류및기타수산물,92,8.6,2.7,8.1,0,196,8.8,2374,3,35,0.11,0.2,1,0,0
"꼬막, 생것",어패류및기타수산물,63,12.6,0.3,1.6,0,83,6.8,0,39,0,0.03,0.24,3,0,0
"꼬막, 새꼬막, 생것",어패류및기타수산물,74,12.29,1.11,2.87,0,68,3.75,419,0,0,0.03,0.05,0,6.5,4.15
"다슬기, 생것",어패류및기타수산물,77,11.9,1.2,4,0,195,1.1,0,0,0,0,0,0,0,0
"다슬기, 곳체다슬기, 생것",어패류및기타수산물,77,11.6,0.6,5.7,0,1117,3.3,0,0,0,0,0,0,0,0
"다슬기, 띠구슬다슬기, 생것",어패류및기타수산물,116,16.9,0.6,9.8,0,469,6.4,0,0,0,0,0,0,0,0
"다슬기, 염주알다슬기, 생것",어패류및기타수산물,110,12.7,1.4,11.2,0,1098,11.2,0,0,0,0,0,0,0,0
"다슬기, 좀주름다슬기, 생것",어패류및기타수산물,88,14,0.5,6,0,865,1.7,0,0,0,0,0,0,0,0
"다슬기, 참다슬기, 생것",어패류및기타수산물,75,12.3,0.4,4.9,0,623,2.4,0,0,0,0,0,0,0,0
"다슬기, 주름다슬기, 생것",어패류및기타수산물,97,14.2,1.6,5.6,0,989,8.2,0,0,0,0,0,0,0,0
"담치, 지중해담치, 생것",어패류및기타수산물,54,8.9,0.5,2.9,0,63,8.6,0,0,0,0,0,0,0,0
"담치, 진주담치, 생것",어패류및기타수산물,74,10.3,1.1,5.1,0,82,6.6,0,22,52,0.02,0.32,3,0,0
"담치, 진주담치, 구운것",어패류및기타수산물,172,23.8,4.48,7.39,0,33,6.72,369,91,0,0.3,0.42,13.6,0,0
"담치, 진주담치(양식), 생것",어패류및기타수산물,83,11.9,1.7,4.4,0,58,5.1,0,25,58,0.02,0.29,2,0,0
"대수리, 생것",어패류및기타수산물,111,18.8,2.6,1.9,0,187,3.9,0,0,25,0.04,0.43,3,0,0
"대합, 북방대합, 생것",어패류및기타수산물,62,12,0.8,1,0,98,5.4,0,0,0,0.01,0.18,2,0,0
"동죽, 생것",어패류및기타수산물,68,11.8,1.6,0.9,0,90,22.7,0,0,25,0.05,0.13,1,0,0
"맛, 붉은맛(큰죽합), 생것",어패류및기타수산물,95,16.1,1.8,2.5,0,64,12.5,0,5,42,0.02,0.2,2,0,0
"바지락, 생것",어패류및기타수산물,73,12.27,0.93,3.2,0,70,2.68,383,0,0,0.04,0.3,2,2.15,2.75
"바지락, 말린것",어패류및기타수산물,349,74,3.7,0,0,0,0,0,0,0,0,0,0,0,0
"바지락, 장조림",어패류및기타수산물,237,24.8,2.1,29.1,0,232,50,0,0,0,0.04,0.11,0,0,0
"바지락, 통조림",어패류및기타수산물,95,15.2,2.4,2.1,0,76,16,0,0,0,0,0.09,0,0,0
"바지락, 조미통조림",어패류및기타수산물,110,16,0.8,8.8,0,66,16,0,0,0,0.02,0.06,0,0,0
"바지락, 양식, 생것",어패류및기타수산물,68,13,1.1,0.7,0,90,13.3,370,9,30,0.04,0.15,2,0,0
"바지락젓, 염절임",어패류및기타수산물,51,8.5,1,1.5,0,112,16.9,0,3,35,0.02,0.1,1,0,0
"백합, 생것",어패류및기타수산물,73,11.7,1,3.6,0,161,11.9,0,0,0,0.03,0.22,3,0,0
"백합, 삶은것",어패류및기타수산물,89,14.9,1.5,2.9,0,130,3.9,490,12,50,0.15,0.27,1,6,8
"백합, 구운것",어패류및기타수산물,77,13.3,1,2.8,0,140,3.3,770,12,48,0.13,0.29,2,4,5
"백합, 조미통조림",어패류및기타수산물,127,19.6,0.1,10.9,0,46,5.8,2100,0,0,0.02,0.04,0,0,0
"백합, 말백합, 생것",어패류및기타수산물,57,10.1,0.5,2.5,0,92,2.4,0,0,0,0,0,0,0,0
"소라, 생것",어패류및기타수산물,107,20.7,0.3,4,0,92,8.2,0,0,0,0.04,0.23,1,0,0
"소라, 통조림",어패류및기타수산물,127,19.6,0.1,10.9,0,49,7.6,0,0,0,0.02,0.04,0,0,0
"수랑, 생것",어패류및기타수산물,85,15.9,0.7,2.9,0,57,1.8,220,0,0,0.03,0.15,2,0,0
"오분자기, 생것",어패류및기타수산물,94,13.3,2.1,4.6,0,89,4.7,0,0,0,0.13,0.17,3,0,0
"우렁이, 논우렁이, 생것",어패류및기타수산물,72,10.5,1.4,3.8,0,1202,5.8,81,0,0,0.34,0.34,0,0,0
"우렁이, 왕우렁, 생것",어패류및기타수산물,65,10.6,0.9,3.1,0,1567,16.8,0,13,568,0.16,0.27,2,0,0
"우렁이, 큰구슬우렁이(골뱅이), 생것",어패류및기타수산물,70,9.8,1,4.9,0,1003,17.1,0,15,658,0.2,0.39,1,0,0
"우렁이, 큰구슬우렁이(골뱅이), 통조림",어패류및기타수산물,86,14.9,0.7,4.1,0,31,1,523,0,9,0.02,0.03,0,0,0
"우렁이, 큰논우렁이, 생것",어패류및기타수산물,76,17.4,0.1,0.3,0,46,2.6,0,0,0,0.03,0.12,1,0,0
큰우슬우렁이(골뱅이) 무침,어패류및기타수산물,109,7.1,2,15.7,3.7,38,6.9,526,0,829,0.1,0.15,0,0,0
"재첩, 생것",어패류및기타수산물,93,12.5,1.9,5.8,0,181,21,390,0,45,0.09,0.21,2,0,0
"전복, 말린것",어패류및기타수산물,256,56,0.9,2.3,0,71,14.6,3000,0,0,0.56,0.06,0,0,0
"전복, 튀긴것",어패류및기타수산물,189,19.63,6.78,11.05,0,37,3.8,591,2,0,0.22,0.13,1.8,0,0
"전복, 통조림, 삶은것",어패류및기타수산물,100,16.3,0.2,7.3,0,24,3.6,600,0,0,0.04,0.04,0,0,0
"전복, 조미통조림",어패류및기타수산물,133,14.7,0.1,17.9,0,28,8,900,0,0,0.05,0.26,0,0,0
"전복, 까막전복, 생것",어패류및기타수산물,85,14.3,0.7,4.5,0,52,2,0,0,0,0.25,0.21,2,0,0
"전복, 말전복, 생것",어패류및기타수산물,77,12.8,0.8,3.8,0,51,2,0,0,0,0.23,0.25,2,0,0
"전복, 참전복, 생것",어패류및기타수산물,90,15,0.7,5.1,0,49,2.4,0,0,0,0.26,0.25,2,0,0
"전복 부산물, 내장, 생것",어패류및기타수산물,148,18.5,7.6,0,0,27,107.8,0,0,0,0,0,0,0,0
"전복젓, 염절임",어패류및기타수산물,99,12.2,4.8,1,0,223,56,2000,0,0,0.2,0.7,0,0,0
"조개, 가무락조개, 생것",어패류및기타수산물,76,14.1,0.6,2.8,0,54,2.4,0,9,0,0.05,0.26,2,0,0
"조개, 개량조개, 생것",어패류및기타수산물,62,12,0.7,1.1,0,65,11,380,12,40,0.02,0.15,3,0,0
"조개, 개량조개, 말린것",어패류및기타수산물,277,54.2,2,7,0,464,12,0,0,0,0.04,0.29,2,0,0
"조개, 개조개, 생것",어패류및기타수산물,64,10.9,0.6,3,0,83,6,0,0,0,0.02,0.2,2,0,0
"조개, 떡조개, 생것",어패류및기타수산물,85,11.2,1,7.4,0,104,3.8,0,0,0,0.04,0.28,2,0,0
"조개, 맛조개, 생것",어패류및기타수산물,55,9.7,1,1.3,0,166,5.5,303,10,68,0.02,0.16,1,0,0
"조개, 맛조개, 말린것",어패류및기타수산물,346,57.9,4.8,14.4,0,198,3.8,0,0,0,0.1,0.17,0,0,0
"조개, 살조개, 생것",어패류및기타수산물,88,14.2,1.5,3.6,0,145,14.4,0,8,10,0.04,0.22,3,0,0
"조개, 새조개, 생것",어패류및기타수산물,114,21.5,1.9,1.3,0,32,3.7,100,0,0,0.1,0.11,2,0,0
"조개, 새조개, 말린것",어패류및기타수산물,295,61.1,1.5,5.2,0,207,11.2,0,0,0,0.05,0.16,0,0,0
"조개, 새조개, 조미하여 말린것",어패류및기타수산물,315,57.9,4.1,7.9,0,287,83.1,0,0,0,0,0,0,0,0
"조개, 왕우럭조개, 생것",어패류및기타수산물,100,16.4,2.2,2.7,0,85,6.3,330,12,40,0.02,0.14,2,0,0
"조개, 우럭, 생것",어패류및기타수산물,98,16.3,2,2.7,0,56,4.1,89,10,36,0.02,0.13,2,0,0
"조개, 접시조개, 생것",어패류및기타수산물,68,11.9,0.6,3,0,64,5.8,0,0,0,0.03,0.15,2,0,0
"조개, 진주조개, 생것",어패류및기타수산물,56,10.1,0.9,1.1,0,94,2.6,0,0,0,0.03,0.1,2,0,0
"조개, 키조개, 생것",어패류및기타수산물,57,10.3,1.1,0.8,0,38,8.2,260,0,50,0.04,0.14,2,0,0
"조개, 키조개, 패주, 생것",어패류및기타수산물,70,12.4,1.1,1.9,0,32,6.5,0,0,0,0,0,0,0,0
"조개, 키조개, 근육, 생것",어패류및기타수산물,92,18.6,0.2,2.7,0,17,0.8,0,0,0,0,0,0,0,0
"조개, 펄조개, 생것",어패류및기타수산물,72,9.4,1,6,0,266,18.2,0,0,25,0.03,0.23,2,0,0
"조개, 피조개, 생것",어패류및기타수산물,65,11.6,0.6,2.7,0,36,3.7,0,33,68,0.17,0.2,3,0,0
"조개, 피조개, 조미통조림",어패류및기타수산물,119,18,1.3,7.8,0,54,8,0,0,0,0.01,0.07,0,0,0
"조개, 피조개(양식), 생것",어패류및기타수산물,82,11.8,2.2,3,0,60,7.4,292,35,75,0.16,0.24,3,0,0
"홍합, 생것",어패류및기타수산물,82,13.8,1.2,3.1,0,43,6.1,0,30,0,0.02,0.33,4,0,0
"홍합, 삶아서 말린것",어패류및기타수산물,386,56.1,10.2,14.1,0,225,17.3,499,65,125,0.14,0.52,8,0,0
"홍합, 통조림",어패류및기타수산물,93,15.8,2.3,1.3,0,165,10,0,0,0,0.56,0.13,0,0,0
"가재, 갯가재, 생것",어패류및기타수산물,87,16.1,1.7,0.8,0,149,1.2,0,0,0,0.26,0.1,0,0,0
"가재, 갯가재, 삶은것",어패류및기타수산물,93,15.1,3,0.3,0,44,3,440,3,0,0,0,0,0,0
"가재, 바닷가재, 생것",어패류및기타수산물,124,15.5,5.1,3,0,230,15.8,124,38,0,0.07,0.39,2,0,0
"가재, 바닷가재, 찐것",어패류및기타수산물,82,16.77,1.2,0,0,60,0.83,97,15,0,0.05,0.085,0.9,0,0
"개불, 생것",어패류및기타수산물,53,10.5,0.2,1.6,0,29,5.5,0,0,0,0.05,0.12,2,0,0
"게, 꽃게, 생것",어패류및기타수산물,77,16.19,0.7,0.43,0,127,0.74,418,0,0,0.04,0.12,0,11,2.7
"게, 꽃게, 찐것",어패류및기타수산물,83,17.88,0.74,0,0,91,0.5,395,1,0,0.023,0.093,3.3,16,9
"게, 닭게, 생것",어패류및기타수산물,70,15.2,0.5,0.1,0,95,0.8,0,0,0,0.2,0.37,0,0,0
"게, 닭게, 삶은것",어패류및기타수산물,74,16.1,0.3,0.6,0,42,5.4,0,0,0,0,0.03,0,0,0
"게, 대게, 생것",어패류및기타수산물,85,17.4,1,0.5,0,158,0.5,475,0,9,0.02,0.06,0,0,0
"게, 대게, 삶아서 말린것",어패류및기타수산물,316,66.7,2.6,2,0,669,3.9,0,0,0,0.1,0.1,1,0,0
"게, 대게, 삶은것",어패류및기타수산물,69,15,0.6,0.1,0,120,0.7,240,0,0,0.21,0.57,0,3,1
"게, 대게, 통조림",어패류및기타수산물,73,16.3,0.4,0.2,0,68,0.5,670,0,0,0,0.03,0,1,1
"게, 대게, 영덕, 생것",어패류및기타수산물,60,8.4,2.6,0.1,0,78,1.1,475,0,9,0.02,0.06,0,0,0
"게, 민꽃게, 생것",어패류및기타수산물,85,14.8,1.6,2,0,79,1.9,0,0,0,0,0,0,0,0
"게, 반게, 생것",어패류및기타수산물,70,12.3,1.6,0.8,0,4278,3.8,130,0,1642,0.07,0.31,0,0,0
"게, 방게, 생것",어패류및기타수산물,66,11.9,1.3,0.9,0,4668,4.8,134,0,0,0.03,0.09,0,0,0
"게, 왕게, 생것",어패류및기타수산물,67,13.7,0.7,0.6,0,69,2.1,550,0,0,0.04,0.08,0,0,0
"게, 왕게, 삶은것",어패류및기타수산물,80,17.5,0.5,0.3,0,48,0.2,310,0,8,0.07,0.06,0,2,0
"게, 주름송편게, 생것",어패류및기타수산물,87,18.8,0.3,1.1,0,66,0.6,0,0,0,0,0,0,0,0
"게, 참게, 생것",어패류및기타수산물,171,14.4,12,0.2,0,359,11.4,0,200,0,0.04,0.25,1,0,0
"대게, 붉은대게, 생것",어패류및기타수산물,49,10.5,0.3,0.3,0,211,1.5,0,0,0,0,0,0,0,0
게맛살,어패류및기타수산물,118,10.6,0.1,18.6,0,218,0.8,792,0,0,0.03,0.12,0,0,0
"게젓, 닭게젓, 염절임",어패류및기타수산물,61,12.2,0.6,0.8,0,3750,3.4,0,0,0,0.1,0.5,0,0,0
"군소, 생것",어패류및기타수산물,36,5.8,1,0.5,0,109,1.7,0,0,0,0.02,0.04,1,0,0
"군소, 풍선군소, 생것",어패류및기타수산물,43,7.7,0.9,0.5,0,117,2.2,0,0,0,0.03,0.05,1,0,0
"꼴뚜기, 생것",어패류및기타수산물,78,13.6,1.8,1,0,48,1,152,0,0,0.02,0.1,0,0,0
"꼴뚜기, 삶아서 말린것",어패류및기타수산물,285,51.3,6.6,1.7,0,505,4.4,1060,70,0,0.35,0.48,1,0,0
"꼴뚜기, 불똥꼴뚜기, 생것",어패류및기타수산물,91,14.4,3,0.6,0,9,5,170,15,0,0.15,0.2,0,0,0
"꼴뚜기, 불똥꼴뚜기, 삶은것",어패류및기타수산물,104,17.7,2.9,0.4,0,22,1.1,240,1900,0,0.2,0.3,0,9,5
"꼴뚜기, 불똥꼴뚜기, 조린것",어패류및기타수산물,260,27,6.7,22.9,0,26,2.7,1200,690,0,0.09,0.21,0,48,25
"꼴뚜기, 불똥꼴뚜기, 조미훈제",어패류및기타수산물,325,43.1,7.5,21.3,0,55,10,1500,150,0,0.4,0.5,0,39,19
"꼴뚜기, 창꼴뚜기, 생것",어패류및기타수산물,70,14.7,0.5,0.8,0,22,0.9,0,0,0,0,0,0,0,0
"꼴뚜기젓, 염절임",어패류및기타수산물,88,16,2,0.3,0,110,5.6,1436,0,0,0.09,0.12,0,0,0
"꼴뚜기젓, 양념, 염절임",어패류및기타수산물,115,9.6,1.8,14.8,0,30,0.5,1687,0,891,0.14,0.06,4,0,0
"낙지, 생것",어패류및기타수산물,59,12.99,0.43,0,0,26,1.48,479,0,0,0.03,0,0,2.7,0.2
"낙지, 세발낙지, 생것",어패류및기타수산물,55,11.5,0.6,0.1,0,15,0.5,227,0,0,0.04,0.05,0,0,0
"멍게, 생것",어패류및기타수산물,79,7.3,2,7.8,0,89,1.7,0,0,0,0.05,0.2,2,0,0
"멍게, 끈멍게, 생것",어패류및기타수산물,64,7.4,1.5,5,0,38,2.4,0,0,0,0.03,0.16,2,0,0
"멍게, 붉은멍게, 생것",어패류및기타수산물,77,9.2,2.6,3.7,0,37,1.8,0,0,0,0.08,0.12,2,0,0
"멍게, 양식, 생것",어패류및기타수산물,75,8.7,2.1,4.9,0,36,6.9,1300,0,0,0.03,0.15,3,0,0
"문어, 생것",어패류및기타수산물,74,15.5,0.8,0.2,0,31,1,211,0,0,0.03,0.12,0,0,0
"문어, 말린것",어패류및기타수산물,349,72,3.1,3.6,0,115,3,815,3,0,0.06,0.15,0,0,0
"문어, 삶은것",어패류및기타수산물,99,21.7,0.7,0.1,0,19,0.2,230,5,0,0.03,0.05,0,0,0
"문어, 대문어, 생것",어패류및기타수산물,59,12.2,0.6,0.3,0,21,0.7,0,0,0,0,0,0,0,0
"문어, 참문어, 생것",어패류및기타수산물,56,12.7,0.2,0.1,0,23,0.5,0,0,0,0,0,0,0,0
"미더덕, 생것",어패류및기타수산물,45,4.3,1.2,4.1,0,40,3.2,0,0,0,0.03,0.13,4,0,0
"미더덕, 주름미더덕, 생것",어패류및기타수산물,54,9,0.7,2.3,0,89,8.5,0,0,0,0,0,0,0,0
"새우, 가시발새우, 생것",어패류및기타수산물,72,15.2,0.5,0.6,0,196,7.4,0,0,0,0.02,0.04,0,0,0
"새우, 각시흰새우, 생것",어패류및기타수산물,85,15.7,1.6,1,0,1341,1.8,0,9,0,0.05,0.1,2,0,0
"새우, 긴뿔천길새우, 생것",어패류및기타수산물,93,20,0.8,0,0,71,1.4,0,0,0,0.04,0.1,0,0,0
"새우, 꽃새우, 생것",어패류및기타수산물,114,22,2,0.6,0,48,6,0,0,0,0.02,0.06,0,0,0
"새우, 꽃새우, 삶아서 말린것",어패류및기타수산물,306,55.5,5.9,4.1,0,4068,15.6,3500,0,0,0.15,0.1,0,0,0
"새우, 꽃새우, 냉동",어패류및기타수산물,114,22,2,0.6,0,2410,0,0,0,0,0.02,0.06,0,0,0
"새우, 꽃새우, 찐것",어패류및기타수산물,119,22.78,1.7,1.52,0,91,0.32,947,90,0,0.032,0.024,0,0,0
"새우, 꽃새우, 튀긴것(튀김옷)",어패류및기타수산물,242,21.39,12.28,11.47,0.4,67,1.26,344,0,0,0.129,0.136,1.5,0,0
"새우, 꽃새우, 장조림",어패류및기타수산물,234,25.9,2.6,25.8,0,125,20,0,0,0,0.01,0.11,0,0,0
"새우, 닭새우, 생것",어패류및기타수산물,88,17,1.2,1.3,0,68,2,130,0,0,0.01,0.07,2,0,0
"새우, 대하, 생것",어패류및기타수산물,83,18.1,0.6,0.1,0,74,1.4,120,0,0,0.02,0.06,1,0,0
"새우, 대하, 말린것",어패류및기타수산물,358,62.4,3.5,15.6,0,236,4.6,620,0,0,0.16,0.34,0,0,0
"새우, 물렁가시붉은새우, 생것",어패류및기타수산물,84,18,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0
"새우, 보리새우, 생것",어패류및기타수산물,71,15.1,0.7,0.1,0,87,1.1,140,0,0,0.07,0.08,1,0,0
"새우, 보리새우, 삶은것",어패류및기타수산물,124,28.2,0.5,0,0,61,1,200,0,56,0.09,0.05,0,23,2
"새우, 부채새우, 생것",어패류및기타수산물,66,13.7,0.8,0,0,84,1.3,362,0,0,0,0.05,1,0,0
"새우, 시바새우, 생것",어패류및기타수산물,94,20.1,0.9,0.1,0,77,2.6,270,0,0,0,0.09,1,0,0
"새우, 시바새우, 삶아서 말린것",어패류및기타수산물,299,54.4,6.2,2.9,0,2767,12.1,0,0,0,0.14,0.11,0,0,0
"새우, 시바새우, 조미하여 말린것",어패류및기타수산물,320,28.5,2,46.7,0,1078,6.5,0,0,0,0.03,0.1,0,0,0
"새우, 시바새우, 통조림",어패류및기타수산물,100,21.5,0.7,0.6,0,56,3,540,0,0,0.04,0.04,0,0,0
"새우, 젓새우, 생것",어패류및기타수산물,62,9.6,1.2,2.6,0,695,0.7,360,3,0,0.09,0.12,2,0,0
"새우, 젓새우, 조린것",어패류및기타수산물,233,19.1,1.8,35.1,0,490,7.1,2700,170,16,0.13,0.21,0,0,0
"새우, 징거미새우, 생것",어패류및기타수산물,91,18.3,1.4,0,0,115,1.8,0,0,0,0.05,0.06,1,0,0
"새우, 철모새우, 생것",어패류및기타수산물,91,18.5,0.9,0.9,0,338,0.6,0,0,0,0,0,0,0,0
"새우, 펄닭새우, 생것",어패류및기타수산물,62,13.2,0.6,0,0,168,1,0,0,0,0.01,0.04,1,0,0
"새우, 흰다리새우, 생것",어패류및기타수산물,98,21.17,0.89,0,0,49,0.89,122,0,0,0.02,0.03,0,90.6,5.8
"새우 볶음, 말린것, 볶은것",어패류및기타수산물,331,23.4,13.4,28.5,2.1,1567,41,981,0,550,0.03,0.2,0,0,0
"새우 부산물, 껍질, 생것",어패류및기타수산물,319,44,11.9,6.1,0,5,0.1,0,0,0,0,0,0,0,0
"새우 튀김용, 냉동",어패류및기타수산물,139,10.2,1.9,20.3,0,42,1.5,340,0,0,0.04,0.07,1,0,0
"새우 튀김용, 튀긴것",어패류및기타수산물,263,6.43,13.53,28.84,1.5,78,0.45,392,0,0,0,0.021,0,6742.51,785.57
"새우젓, 대때기젓, 토굴, 염절임",어패류및기타수산물,55,10.1,0.6,1.7,0,591,2,8155,33,0,0.19,0.06,0,0,0
"새우젓, 동백하젓, 토굴, 염절임",어패류및기타수산물,51,8.3,1,1.6,0,473,1.2,9173,31,0,0.17,0.05,0,0,0
"새우젓, 시바새우젓, 염절임",어패류및기타수산물,92,15.8,2.6,0.3,0,688,24,0,0,0,0,0,0,0,0
"새우젓, 염절임",어패류및기타수산물,131,16,0.3,15.4,0,500,8,0,0,0,0,0,0,0,0
"새우젓, 육젓, 토굴, 염절임",어패류및기타수산물,59,10.8,0.6,1.9,0,396,0.6,8791,39,0,0.18,0.09,0,0,0
